URL,Domain,Anchor
http://www.collectionscanada.gc.ca/lac-bac/result/arch.php?FormName=MIKAN+Simple+Search&SortSpec=score+desc&Language=eng&QueryParser=lac_mikan&Sources=mikan&Archives=&SearchIn_1=&SearchInText_1=World+War+II&Operator_1=AND&SearchIn_2=&SearchInText_2=&Operator_2=AND&SearchIn_3=&SearchInText_3=&Media=Media.Photographs&Level=&MaterialDateOperator=after&MaterialDate=&Source=&ResultCount=10&cainInd=8%2C9&Paging=true&MaxDocs=-1&DigitalImages=1&PageNum=1,collectionscanada.gc.ca,World War II Photographs - from Library and Archives Canada
http://www.collectionscanada.gc.ca/military/025002-7010-e.html,collectionscanada.gc.ca,Canadian Readers' Guide for the Second World War - from Library and Archives Canada
http://archives.cbc.ca/war_conflict/second_world_war/,archives.cbc.ca,Radio and Film Clips and other Primary and Secondary Resources - from the CBC Digital Archive
http://www.warmuseum.ca/cwm/exhibitions/newspapers/intro_e.shtml,warmuseum.ca,Democracy at War: Canadian Newspaper and the Second World War Canadian War Museum Exhibit
http://www.ccsa.ca/default.htm,ccsa.ca,"Canadian Centre on Sustance Abuse - A non-profit organization working to minimize the harmful impact of alcohol, tobacco and other drug"
http://www.hc-sc.gc.ca/english/lifestyles/alcohol_drug.html,hc-sc.gc.ca,Abuse - Health Canada
http://www.camh.net/,camh.net,Centre for Addiction and Mental Health
http://www.afaa.com/main/main.html,afaa.com,Aerobics and Fitness Association of America
http://www.physsportsmed.com/,physsportsmed.com,The Physician and Sports Medicine
http://www.participaction.com/en-us/Splash.aspx,participaction.com,Participaction - Canadian Fitness Awareness Campaign
http://nays.org/,nays.org,National Alliance for Youth Sports
http://www.rohan.sdsu.edu/dept/coachesci/into.html,rohan.sdsu.edu,Coaching Science Abstracts
http://www.pch.gc.ca/progs/sc/index_e.cfm,pch.gc.ca,Sport Canada - Canada's Official Sport Policy
http://www.ontario.cmha.ca/about_mental_health.asp,ontario.cmha.ca,About Mental Health
http://www.ontario.cmha.ca/about_mental_health.asp?cID=23089,ontario.cmha.ca,Your Mental Health
http://www.ontario.cmha.ca/about_mental_health.asp?cID=7593,ontario.cmha.ca,Mental Illnesses
